Point,Point,Accepted,Rejected,Residual,3-d,3-d,3-d,Sigma,Sigma,Sigma,Correction,Correction,Correction,Coordinate,Coordinate,Coordinate
ID,,,,,Latitude,Longitude,Radius,Latitude,Longitude,Radius,Latitude,Longitude,Radius,X,Y,Z
Label,Status,Measures,Measures,RMS,(dd),(dd),(km),(m),(m),(m),(m),(m),(m),(km),(km),(km)
AS15_000031172,FREE,2,0,  0.11,     23.99493444,      7.68675700,   1733.61252958,     88.98886948,     78.32217323,     83.47584205,    797.46381210,  -1099.04667889,  -1268.82038557,   1569.56441831,    211.84403559,    704.98371903
AS15_000031213,FREE,2,0,  0.36,     25.73284547,      8.46507248,   1733.65089344,     89.69364892,     82.60270056,     82.45679201,    842.95502937,   -920.15306150,  -1232.87736624,   1544.70800701,    229.89555919,    752.70885824
AS15_000031311,FREE,2,0,  0.20,     24.81972084,      7.95880344,   1733.58414845,     86.50478826,     77.59164191,     80.55052453,    773.08775280,   -997.26199680,  -1307.03444260,   1558.30253332,    217.86267950,    727.69709859
AS15_000031415,FREE,2,0,  0.13,     24.52192035,      7.63843439,   1733.62800843,     84.70563491,     74.59218509,     80.08425454,    772.83709045,  -1048.68158228,  -1246.04422049,   1563.26352927,    209.65130056,    719.52730445
AS15_000031417,FREE,2,0,  0.14,     24.55074243,      7.71558300,   1733.63088716,     85.33153008,     75.47001638,     80.32846429,    777.56639660,  -1047.25085435,  -1244.56112499,   1562.62353995,    211.70777086,    720.32183436
AS15_000031448,FREE,2,0,  0.39,     25.87956405,      8.44407758,   1733.66701538,     89.40855662,     82.11102295,     82.48535470,    858.44640576,   -905.00509407,  -1218.27858225,   1542.89484524,    229.04785599,    756.71255864
AS15_000031491,FREE,2,0,  0.70,     23.47478146,      6.40065519,   1734.91071284,     81.87635245,     69.28888067,     81.69582585,    708.90941222,  -1204.57310125,  -1240.48881927,   1581.40241015,    177.40101268,    691.09368353
AS15_000031493,FREE,3,1,  0.73,     24.02699328,      6.09141180,   1735.29162920,     73.69703659,     60.62840617,     76.72219248,    811.77122229,  -1193.34652416,   -901.63183137,   1575.98632528,    168.18542889,    706.55346749
AS15_000031532,FREE,2,0,  0.10,     23.77960748,      7.63478903,   1733.53063186,     90.37031841,     79.14705492,     84.88108752,    785.65318446,  -1102.85347267,  -1322.41464726,   1572.29650335,    210.76089106,    698.99356504
AS15_000031538,FREE,2,0,  0.20,     24.05520695,      7.23889335,   1734.02395923,     83.91589295,     72.27573452,     80.83555252,    651.84942662,  -1038.33799101,  -1464.04715917,   1570.80850658,    199.52266409,    706.81711450
AS15_000031543,FREE,2,0,  0.61,     24.43215398,      6.56525168,   1735.18983118,     74.30035670,     62.08263132,     75.38398873,    776.58340334,  -1104.23317463,  -1001.40594027,   1569.44659339,    180.62666531,    717.70129476
AS15_000031579,FREE,2,0,  0.03,     25.13045896,      7.12892914,   1735.11845547,     75.91871278,     64.98814552,     74.77514062,    779.24372389,  -1021.56060072,  -1146.23934671,   1558.73380976,    194.94983815,    736.87144429
AS15_000031626,FREE,2,0,  0.28,     27.41489484,      8.02125665,   1733.93331458,     90.24570068,     77.89241852,     87.33291622,   1099.96193440,   -848.76588329,   -910.07683461,   1524.14616400,    214.78142902,    798.35590306
AS15_000031631,FREE,2,0,  0.47,     23.76794832,      6.71470441,   1734.80194093,     81.43167579,     68.46570651,     80.71632497,    773.62738368,  -1121.67414443,  -1139.69110542,   1576.77487180,    185.63873764,    699.18312122
AS15_000031657,FREE,2,0,  0.12,     27.76066770,      6.79220680,   1734.62537013,     81.31565888,     63.82411408,     84.50667374,   1352.84298379,   -976.73940679,   -855.08355172,   1524.19856623,    181.53941401,    807.95256455
AS15_000031694,FREE,2,0,  0.13,     26.63952943,      7.19894860,   1735.75372401,     76.72783440,     64.21318638,     77.09454439,    968.63164272,   -960.34718470,   -885.61404392,   1539.26453943,    194.42563574,    778.27009464
AS15_000031737,FREE,2,0,  0.05,     25.84470624,      7.18938350,   1735.49006907,     75.09958820,     63.93165812,     74.55603414,    849.11007464,  -1013.10493209,   -908.79455636,   1549.62460485,    195.47140319,    756.55818973
AS15_000031738,FREE,2,0,  0.23,     25.77981784,      7.24399180,   1735.31029309,     75.74467092,     64.75766155,     74.82228762,    841.12448163,  -1025.93816818,   -871.75856412,   1550.12598879,    197.03575390,    754.71063586
AS15_000031785,FREE,2,0,  0.10,     27.87554408,      7.30739144,   1734.19568137,     87.14201080,     70.48814204,     87.82390395,   1211.11059242,   -922.87331722,   -698.64577564,   1520.51806189,    194.98223277,    810.82761030
AS15_000031813,FREE,2,0,  0.26,     26.95448293,      7.64268849,   1734.26523640,     83.32405503,     71.08161148,     81.83890684,    976.84544295,   -947.28225465,   -804.57017267,   1532.13427793,    205.59232146,    786.11211792
